,codebook_dl,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost,2,3,4,5,6
code_book6.npy,2272,16.16,3.3,28.32,3118.32,164.62,28.2020202020202,5.292929292929293,45.898989898989896,3135.89898989899,292.6969696969697,0.05973092174577134,0.10096623442567212,0.3276663039231016,0.2627649194879715,0.24887162041748356
code_book16.npy,2296,17.16,3.32,29.12,3166.12,167.24,29.07070707070707,5.2727272727272725,45.25252525252525,3182.252525252525,301.85858585858585,0.03879471399819316,0.19071770170486324,0.033446150856386116,0.24740305780106667,0.48963837563949086
code_book3.npy,2328,16.5,3.3,28.8,3130.8,160.5,28.343434343434343,5.353535353535354,45.57575757575758,3147.5757575757575,290.25252525252523,0.06839205149021388,0.22368076631110398,0.11516008063463108,0.3406298700504803,0.25213723151357076
code_book14.npy,2360,16.12,3.3,30.72,2787.72,157.22,28.19191919191919,5.4646464646464645,49.535353535353536,2806.5353535353534,284.65656565656565,0.011385184556478656,0.29985730414275796,0.3354210169741382,0.28299487124125294,0.07034162308537217
code_book7.npy,2376,16.52,3.38,29.92,3001.92,162.76,28.282828282828284,5.353535353535354,47.43434343434343,3019.4343434343436,288.9191919191919,0.2165423956366559,0.16196013986961827,0.024378358765169035,0.4040298673555791,0.1930892383729778
code_book15.npy,2384,16.5,3.32,29.12,2953.12,154.4,28.616161616161616,5.414141414141414,46.707070707070706,2970.7070707070707,282.2323232323232,0.20917080131511506,0.07896863211512548,0.16287168252982667,0.3211022204283413,0.22788666361159152
code_book5.npy,2392,16.64,3.36,28.8,3084.8,162.7,28.757575757575758,5.3232323232323235,45.494949494949495,3101.4949494949497,292.949494949495,0.29043495325018753,0.04885622804382108,0.16679237952745873,0.2218230663352226,0.27209337284331014
code_book19.npy,2400,15.98,3.3,29.76,2630.76,151.7,28.21212121212121,5.5353535353535355,48.80808080808081,2649.808080808081,275.4848484848485,0.23006889864183755,0.0013890049045821818,0.28952993440230157,0.39084830977312374,0.08816385227815507
code_book9.npy,2424,16.22,3.28,29.92,2783.92,160.9,28.757575757575758,5.444444444444445,48.96969696969697,2802.969696969697,294.2929292929293,0.09434813794251057,0.33928233601792535,0.13627132189660657,0.2764081379784155,0.15369006616454203
code_book13.npy,2424,16.7,3.3,29.76,3228.76,166.74,29.08080808080808,5.444444444444445,48.08080808080808,3247.080808080808,305.27272727272725,0.18513840428521622,0.10750960746670896,0.3320688115791486,0.18233352954176701,0.19294964712715915
code_book11.npy,2432,16.38,3.4,28.32,2387.32,149.56,28.525252525252526,5.767676767676767,47.43434343434343,2406.4343434343436,275.3939393939394,0.3903139841212006,0.041582636387277175,0.09827580210390037,0.41848163761479307,0.05134593977282892
code_book18.npy,2448,16.72,3.32,30.08,3147.08,160.52,28.393939393939394,5.3232323232323235,46.62626262626262,3163.626262626263,286.4848484848485,0.21312754531160324,0.18026058014105176,0.04429223078987344,0.3313182561776266,0.23100138757984506
code_book10.npy,2520,16.0,3.4,30.24,2272.24,144.5,27.848484848484848,5.616161616161616,48.56565656565657,2290.5656565656564,265.6868686868687,0.15725364705607195,0.2893465067692232,0.18056055314710762,0.3368937579148321,0.03594553511276517
code_book1.npy,2528,16.78,3.58,34.56,1880.56,140.96,29.060606060606062,5.828282828282828,55.111111111111114,1901.111111111111,266.34343434343435,0.4348853483423896,0.046050525626122114,0.47019895670910267,9.620417875796412e-05,0.04876896514362767
code_book2.npy,2552,16.46,3.42,30.08,2593.08,158.46,28.68686868686869,5.525252525252525,49.292929292929294,2612.2929292929293,286.6363636363636,0.43472238800294705,0.08795957813786918,0.08840695719930627,0.33175102100261983,0.057160055657257694
code_book4.npy,2552,16.4,3.28,29.76,2796.76,154.14,28.353535353535353,5.282828282828283,47.75757575757576,2814.757575757576,275.3838383838384,0.25429228944147403,0.36504328716892664,0.08865826099428323,0.09602690031298662,0.19597926208232938
code_book12.npy,2560,16.3,3.28,28.64,3057.64,158.5,29.292929292929294,5.4646464646464645,48.08080808080808,3077.080808080808,294.34343434343435,0.3640843657051968,0.19867422782284555,0.09028335320516204,0.1071925440697642,0.23976550919703138
code_book8.npy,2568,16.14,3.52,33.12,1860.12,138.62,28.11111111111111,5.747474747474747,53.898989898989896,1880.8989898989898,255.77777777777777,0.5946287302982792,0.29372186113751486,0.033121520571624076,0.031974379656988454,0.04655350833559339
code_book17.npy,2576,16.4,3.36,31.2,2945.2,168.04,28.161616161616163,5.303030303030303,48.16161616161616,2962.161616161616,295.030303030303,0.31312594775876496,0.15529614995369284,0.2550859303212048,0.08795163427032533,0.188540337696012
code_book20.npy,2624,16.2,3.34,31.52,2800.52,161.8,28.393939393939394,5.353535353535354,48.64646464646464,2817.6464646464647,290.1010101010101,0.3081470880621316,0.2445505681899197,0.22806177479410242,0.08752872027849552,0.13171184867535068
