,codebook_dl,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost,2,3,4,5,6,7,8,9,10
code_book14.npy,3048,33.0,4.0,33.28,7996.28,512.02,51.89,5.94,46.4,8009.4,726.95,0.11965313829418517,0.06004073050036912,0.22058260882391612,0.027018576362707682,0.053435452661577426,0.025329207481813724,0.15144083456328353,0.2003097127917088,0.14218973852043854
code_book5.npy,3056,33.1,4.02,31.52,7567.52,513.52,52.02,5.88,44.08,7580.08,739.46,0.02608244672839019,0.03670999260221437,0.17702680948023494,0.1293785561240459,0.17102808770081485,0.06735798044086648,0.11686635894158114,0.09488866705053213,0.18066110093131982
code_book4.npy,3096,33.26,4.06,34.24,8543.24,531.4,51.98,5.83,46.32,8555.32,750.98,0.058755981805857345,0.11075086108511147,0.1099504957593564,0.057336021312561825,0.1182025352780378,0.13751612040542976,0.1283170904690189,0.12101689746320882,0.15815399642141761
code_book16.npy,3120,32.48,4.0,33.12,8006.12,526.34,50.86,5.96,46.96,8019.96,770.38,0.03977627423532289,0.12068144984773518,0.054211875918690956,0.15477068689563492,0.1883352174166395,0.06985450325776676,0.16499267925273395,0.10311706400957239,0.10426024916590343
code_book11.npy,3128,32.86,3.88,30.56,8150.56,508.48,51.82,5.84,43.76,8163.76,742.18,0.1092192069267272,0.05599219212686145,0.15435820611788353,0.11963100608710986,0.11946213169835235,0.13062594025311636,0.03403130267255118,0.07823103755767563,0.19844897655972246
code_book9.npy,3160,33.32,3.96,32.0,7950.0,519.56,52.01,5.93,46.16,7964.16,767.24,0.09489327780750596,0.11426900399537815,0.03243894527964685,0.13129014957726146,0.11594887930175522,0.09999763640706301,0.16317968626353918,0.06332146387654627,0.18466095749130396
code_book2.npy,3200,32.44,4.04,35.52,7146.52,502.46,51.4,5.99,51.44,7162.44,729.74,0.009305392667101864,0.16906771593183514,0.15986176095038035,0.08406649553484871,0.113486325748826,0.16285788654445219,0.14702350560713032,0.12933057522821922,0.025000341787206278
code_book12.npy,3200,33.74,4.04,33.28,7317.28,508.12,51.71,5.96,47.2,7331.2,730.33,0.1678086640479052,0.03413552524232189,0.11032607235040448,0.13899629336802166,0.11931495687121442,0.15883356538973428,0.01929079239578075,0.1252001096409971,0.12609402069362022
code_book17.npy,3216,32.88,4.0,32.32,8272.32,530.24,50.33,5.79,45.52,8285.52,766.42,0.09235856012347346,0.13936215477496458,0.1071086032339592,0.08217176579641655,0.09132391787352494,0.12958843979708282,0.0958875677939137,0.13113433547982778,0.13106465512683707
code_book10.npy,3224,32.9,4.08,33.28,6751.28,503.24,51.98,6.19,49.2,6767.2,744.22,0.12130295423454776,0.09024459469537967,0.1778619153664619,0.016470364749477818,0.15764997076017137,0.08403284825455741,0.15753156074077157,0.19231155442300693,0.002594236775625489
code_book18.npy,3240,32.1,3.98,33.12,7793.12,531.14,51.52,5.88,48.08,7808.08,764.99,0.11624428605795423,0.15016057369301172,0.18664381722573714,0.15072557707577766,0.005835489344608005,0.04449039912559464,0.05613184990202982,0.195151139705656,0.09461686786963075
code_book1.npy,3240,31.94,4.06,32.48,7445.48,525.92,50.46,5.98,46.8,7459.8,772.74,0.008002597421630191,0.22472950142166073,0.10776333009926749,0.18541115843552672,0.07854629511219283,0.07892443472012167,0.12412696152733188,0.15518238110145777,0.03731334016081062
code_book8.npy,3264,33.14,4.0,33.76,7667.76,508.98,52.24,5.97,49.52,7683.52,731.89,0.23087243782162262,0.08503838789400407,0.1490269998990359,0.03801029716582956,0.059124998945363466,0.1395437388046865,0.055379397913957955,0.19189972199172903,0.0511040195637708
code_book13.npy,3264,32.28,3.92,32.0,8134.0,508.0,51.24,5.75,45.28,8147.28,726.78,0.1873895897254435,0.05301682812420761,0.11721086752521115,0.1315206225098225,0.05614940250066115,0.05921251477422421,0.20228320745635367,0.06509681301793664,0.1281201543661395
code_book6.npy,3272,33.24,4.08,32.96,7484.96,525.04,52.11,5.88,46.56,7498.56,737.88,0.1716152855971016,0.16114021002292522,0.007336155899572667,0.18649139544491034,0.09728578588411,0.07388912782927487,0.11901990081175234,0.028531419185360233,0.15469071932499262
code_book7.npy,3336,33.0,4.12,35.36,7166.36,502.16,50.29,5.88,48.88,7179.88,723.64,0.10432175255669895,0.12370869900437616,0.10746121983796124,0.18102547057382812,0.10454983408950813,0.03999494294110169,0.13359720632374658,0.1439986793332564,0.06134219533952261
code_book20.npy,3344,31.98,4.0,32.8,7559.8,523.0,52.0,6.05,47.52,7574.52,754.88,0.17851951727062698,0.20303476860517783,0.0810709047407449,0.07764456563388056,0.032080413470987224,0.08178995021090919,0.17498208022983297,0.05900603780374745,0.11187176203409288
code_book19.npy,3448,32.42,4.02,32.48,6965.48,509.2,51.09,5.83,45.28,6978.28,730.06,0.18598790486284275,0.19585080407931682,0.10798688985361177,0.1251547172606075,0.12173067329179717,0.008636752511751751,0.05462368227394212,0.09793375305077799,0.102094822815352
code_book3.npy,3520,31.76,4.02,36.64,7261.64,502.92,50.87,5.91,52.32,7277.32,718.97,0.2545736315130401,0.1990090776640727,0.11587083044059308,0.12411083564055797,0.03582014794346359,0.001499557058863359,0.09635745209586634,0.10193591658385716,0.07082255105968593
code_book15.npy,3520,32.46,4.12,38.24,6650.24,503.16,51.06,6.08,55.84,6667.84,720.04,0.21602933841537675,0.17070971104075378,0.09709658662604236,0.13039694066968469,0.112271527484724,0.07049496187648593,0.14683510435896974,0.03787896452611594,0.018286865001846866
