,codebook_dl,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost,2,3,4,5,6
code_book8.npy,1704,16.94,3.3,23.36,3183.36,166.94,28.8989898989899,5.303030303030303,36.76767676767677,3196.7676767676767,302.1818181818182,0.05663359755274963,0.22486948104929452,0.1240515656123747,0.2485066566004151,0.345938699185166
code_book14.npy,1712,16.8,3.28,24.64,3004.64,155.4,29.292929292929294,5.373737373737374,37.898989898989896,3017.89898989899,282.8989898989899,0.25852720574591825,0.013363694627466898,0.29925540240734505,0.08789755564451264,0.340956141574757
code_book9.npy,1744,17.82,3.28,24.0,2792.0,148.38,29.636363636363637,5.343434343434343,37.656565656565654,2805.656565656566,270.1313131313131,0.385157229723865,0.09371703658343478,0.12917753565067927,0.013658082430348563,0.37829011561167236
code_book3.npy,1744,16.7,3.34,27.36,2837.36,152.76,28.353535353535353,5.313131313131313,41.77777777777778,2851.777777777778,268.979797979798,0.004474641924721422,0.3221015070610945,0.23263284807016518,0.3054793785119869,0.13531162443203193
code_book11.npy,1744,17.04,3.38,24.64,2770.64,156.78,28.303030303030305,5.292929292929293,37.333333333333336,2783.3333333333335,281.19191919191917,0.024347806402454788,0.24172208358930616,0.33409361333761106,0.1986468752447862,0.20118962142584185
code_book20.npy,1744,17.04,3.32,24.96,2872.96,150.42,29.1010101010101,5.454545454545454,39.03030303030303,2887.030303030303,275.92929292929296,0.2035967851930069,0.07301587792900562,0.062160171797237165,0.44403874428917606,0.21718842079157433
code_book15.npy,1752,16.74,3.32,25.44,2894.44,152.76,29.292929292929294,5.515151515151516,40.56565656565657,2909.5656565656564,279.6868686868687,0.10232398353848486,0.347464102824097,0.06999392843565765,0.37122097861207537,0.10899700658968509
code_book12.npy,1760,17.18,3.32,24.96,2763.96,150.44,29.404040404040405,5.424242424242424,39.515151515151516,2778.5151515151515,275.1313131313131,0.007223889291659871,0.38405995754523053,0.3802151792828818,0.05262201157520766,0.1758789623050201
code_book5.npy,1784,16.62,3.36,26.88,2371.88,144.34,28.505050505050505,5.494949494949495,42.18181818181818,2387.181818181818,259.7171717171717,0.07282319118573756,0.30052721934350685,0.3332480443487799,0.2683034573954874,0.02509808772648811
code_book17.npy,1800,17.16,3.32,25.28,2950.28,161.0,28.88888888888889,5.292929292929293,37.656565656565654,2962.656565656566,288.42424242424244,0.14142401523750595,0.2708425463282981,0.2572552054076569,0.043537400519458855,0.2869408325070802
code_book16.npy,1800,16.7,3.28,24.32,3161.32,163.08,28.717171717171716,5.292929292929293,37.73737373737374,3174.7373737373737,292.6666666666667,0.1335289701820628,0.21764926168213436,0.166919677760017,0.19352451804970816,0.28837757232607775
code_book7.npy,1808,17.32,3.28,24.96,2876.96,155.92,28.96969696969697,5.282828282828283,38.14141414141414,2890.1414141414143,280.3939393939394,0.1978314171769398,0.16765780717336376,0.2859703044870909,0.0671614355301874,0.28137903563241823
code_book10.npy,1816,16.54,3.4,27.2,2067.2,139.3,29.272727272727273,5.707070707070707,45.25252525252525,2085.252525252525,262.3030303030303,0.29570334870698034,0.2077170374319451,0.38932542069527853,0.03638481003742331,0.07086938312837271
code_book1.npy,1816,16.82,3.26,25.76,2521.76,144.72,28.707070707070706,5.373737373737374,39.35353535353536,2535.3535353535353,267.3333333333333,0.3657966913750404,0.08008650036373952,0.28286928705791514,0.025431849000235873,0.245815672203069
code_book2.npy,1840,16.68,3.34,24.32,3162.32,163.4,28.95959595959596,5.404040404040404,38.94949494949495,3176.949494949495,299.5959595959596,0.3167021448173348,0.10626003917750516,0.18181131032137654,0.15377241504669942,0.2414540906370841
code_book13.npy,1840,16.72,3.32,25.28,2910.28,152.42,28.616161616161616,5.3232323232323235,39.111111111111114,2924.1111111111113,276.7979797979798,0.19338054926681753,0.23504029744611038,0.11271933657146985,0.22502956751983647,0.2338302491957657
code_book19.npy,1856,16.7,3.4,26.08,2601.08,156.48,28.656565656565657,5.525252525252525,41.93939393939394,2616.939393939394,279.73737373737373,0.21809235307020852,0.19696752677561133,0.23550992265342996,0.2513435897756114,0.09808660772513884
code_book18.npy,1864,16.48,3.38,26.88,2350.88,142.1,28.86868686868687,5.505050505050505,42.343434343434346,2366.343434343434,259.25252525252523,0.30328464289498935,0.23294066516207085,0.29456242492702533,0.029391444053269006,0.13982082296264542
code_book4.npy,1864,16.48,3.4,26.4,2491.4,149.86,28.07070707070707,5.515151515151516,41.21212121212121,2506.212121212121,273.030303030303,0.2405784204562823,0.2210430872808477,0.1773671401169793,0.2626524777067307,0.09835887443915996
code_book6.npy,1880,16.82,3.42,27.68,2433.68,145.98,29.060606060606062,5.555555555555555,42.90909090909091,2448.909090909091,272.020202020202,0.2626201011864661,0.25706686295343056,0.19766651802888732,0.18174037259076942,0.10090614524044662
