Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,8,4.002814070351759,2,0.2932954683622374,0.05353246753246753,154,0.973,0.05353246753246753,0.0,0.2152340667536482,0.973,0.0016570854271356784,0.0,0.038986710756690766,154,4975,40,32.3051948051948,1,7.2679048250831215,14,4.319,0,1.683816795260102,0.11278787878787878,33,0.973,0.11278787878787878,0.0,0.2838198059990152,0.973,0.0037219999999999996,0.0,0.055355349479521865,66,2000,35,30.303030303030305,1,9.430719785135619,2000,0.005120330024510622,10.486630982719362,6.988440963905305,1.54460114473477,0.015933446120470762,0.009566860739141703,30.65079748397693,1.922968237195164,2.1572352e-05,0.019321594,0.010497671,-0.0075679244,0.0046079475
1,13,5.11102172164119,5,0.935867485519906,0.025346666666666663,150,0.982,0.025346666666666663,0.0,0.1532188407329711,0.982,0.0007646822204344328,0.0,0.02696375311299295,304,9947,34,33.14666666666667,1,5.159310892831415,14,5.27,0,1.6096894110355577,0.16969444444444445,36,0.955,0.16969444444444445,0.0,0.3462838286278119,0.955,0.006109,0.0,0.07291222887143142,102,3000,34,27.77777777777778,2,11.745238068423756,3000,0.005228556226938963,12.027848852332681,7.744730063714087,1.8189615956507623,0.016126939095556736,0.014333020430058241,42.68111533392221,2.428468677215278,0.005395498,0.13100912,0.028384246,-0.00048776448,0.03460137
2,13,11.2718,2,3.1618230121244926,0.0,147,0,0.0,0,0.0,0,0.0,0,0.0,451,14947,35,34.01360544217687,34,0.1158461657546014,14,10.88,0,3.2350579592953204,0.024333333333333332,30,0.73,0.024333333333333332,0.0,0.13103901030693962,0.73,0.00073,0.0,0.023073081718747498,132,4000,49,33.333333333333336,2,8.092520552268551,4000,0.005500350147485733,11.273820510599762,7.412882252596319,1.6559630488045514,0.015279161278158426,0.007716081105172634,53.95734179345891,2.1764796166680753,0.0032837875,0.09379632,0.018994898,-0.0050775246,0.016104184
3,14,5.419658976930792,0,4.358325330112641,0.04140441176470588,136,0.973,0.04140441176470588,0.0,0.1928055778832378,0.973,0.0011295887662988965,0.0,0.03255255849122104,587,19932,50,36.654411764705884,1,9.613393442354717,14,5.624,0,4.191971373948062,0.0615,28,0.712,0.0615,0.0,0.18550885616133186,0.712,0.001722,0.0,0.03265756751504925,160,5000,50,35.714285714285715,11,9.090250439961734,5000,0.005473792087286711,11.305004456546158,7.214881625957787,1.8066829359158874,0.014333150815218687,0.00760847982019186,65.26483010081574,2.256024471949786,7.879452e-05,0.065647975,0.019858986,-0.0015506472,0.011668
4,13,4.18855421686747,0,3.291462352167381,0.032178571428571424,140,0.973,0.032178571428571424,0.0,0.16783679435933088,0.973,0.0009046184738955823,0.0,0.028639062876511856,727,24912,50,35.57142857142857,1,7.956257965672464,14,5.425,0,2.623809253737779,0.07483333333333334,30,0.775,0.07483333333333334,0.0,0.1983562591791737,0.775,0.0022449999999999996,0.0,0.03665128885864725,190,6000,46,33.333333333333336,9,8.549203991535638,6000,0.005467610899358988,10.641630457248539,6.833778008352965,1.9073909297585487,0.014340952038764954,0.007634633220732212,75.90887651778758,1.8730183229781687,0.0021200299,0.077675916,0.02370806,-0.010668201,0.015353269
5,14,6.015643802647412,0,4.684099718105105,0.031028169014084506,142,0.9279999999999999,0.031028169014084506,0.0,0.16305632586223,0.9279999999999999,0.000883674288006418,0.0,0.027997129426685613,869,29898,50,35.11267605633803,3,7.773282692957844,14,6.564,0,4.225861332320312,0.06306451612903226,31,0.982,0.06306451612903226,0.0,0.24014524307833576,0.982,0.001955,0.0,0.04367185563953059,221,7000,44,32.25806451612903,1,9.154472701769915,7000,0.0052531929686665535,11.381835552863777,7.628870392218232,1.7744866348803043,0.014992761891335249,0.008216056041419506,87.29321838589385,1.9500165148638189,0.0031848305,0.103718966,0.029408759,0.0003614151,0.018987443
6,14,5.896012823081547,0,4.3643202512298975,0.04965248226950354,141,0.982,0.04965248226950354,0.0,0.20415416181067306,0.982,0.0014027249048286915,0.0,0.03528662873795258,1010,34889,50,35.39716312056738,1,9.44778816294974,14,7.69,0,4.558936279440633,0.04656666666666666,30,0.739,0.04656666666666666,0.0,0.17455002784938828,0.739,0.0013969999999999998,0.0,0.031259132921435936,251,8000,43,33.333333333333336,10,6.915361322607968,8000,0.0052548800595104694,10.972606172785163,7.549770346842706,1.437164899893105,0.01599995791912079,0.008349752053618431,98.2684169257991,1.956066336017102,8.350314e-05,0.112606674,0.028683554,-0.0019103661,0.018364968
7,14,5.444555644515613,0,3.744428524980697,0.04485074626865671,134,0.982,0.04485074626865671,0.0,0.19300264894410923,0.982,0.0012029623698959168,0.0,0.03242848322772661,1144,39885,50,37.28358208955224,1,9.944331573927759,14,5.383,0,3.380874295208268,0.08117857142857142,28,0.82,0.08117857142857142,0.0,0.2053023995356655,0.82,0.002273,0.0,0.03687175709130227,279,9000,47,35.714285714285715,7,9.61344721454998,9000,0.005164807662367821,11.703371535986662,8.092736527789384,1.3726488687098026,0.014610784128308296,0.008152409922331572,109.97437441209331,2.2100581377744675,0.0023232426,0.12711577,0.030945696,0.0029512774,0.021455137
8,14,5.5989197839567915,0,4.1914294040883675,0.05,142,0.946,0.05,0.0,0.2060422491886172,0.946,0.0014202840568113622,0.0,0.03570595159963189,1286,44884,50,35.20422535211268,2,9.317965936225194,14,5.88,0,4.444277219076236,0.09013793103448275,29,0.901,0.09013793103448275,0.0,0.23211601203707433,0.901,0.002614,0.0,0.04232310248552202,308,10000,50,34.48275862068966,4,10.03999137812232,10000,0.005180842243134975,10.863006766419858,7.387008941266686,1.4191239778883755,0.014571321196854115,0.007578001823276281,120.83992982329801,2.029543682001531,0.0004358113,0.13775742,0.03625848,0.00086583104,0.023364555
9,13,4.8736,0,4.130378074704542,0.018804347826086955,138,0.973,0.018804347826086955,0.0,0.12742578736442728,0.973,0.0005189999999999999,0.0,0.021392532318545175,1424,49884,50,36.231884057971016,1,7.264455708460244,14,5.182,0,3.846930724616704,0.1688181818181818,33,0.946,0.1688181818181818,0.0,0.3046353462992698,0.946,0.0055709999999999996,0.0,0.06302332075509827,341,11000,46,30.303030303030305,2,11.915065198984495,11000,0.0051796333864331245,11.349442816805094,8.141831956803799,1.3232684298418462,0.014096352737396955,0.0070804706774652,132.1918825423345,1.8579859733581543,0.0001369649,0.15037642,0.036890686,0.0016195765,0.026607081
