,codebook_dl,num_symbols,train_rl_auc,test_rl_auc,test_rl_regret,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost
code_book4_6.npy,27967,84,174.32873679717517,18.23863455061737,374.18349480198737,17.228,3.72,21.152,4356.152,82.898,30.044265593561367,6.325955734406438,33.51307847082495,4368.513078470825,161.90140845070422
code_book3_7.npy,29321,106,171.14656946580976,15.836095540530895,376.5863318899012,18.024,3.784,21.52,6422.52,76.458,32.72837022132797,6.313883299798793,34.99396378269618,6435.9939637826965,135.66800804828975
code_book2_8.npy,32153,144,163.27696121076178,12.21621869008549,380.21274024895763,19.692,3.984,23.84,10312.84,68.354,36.25754527162978,6.52112676056338,38.100603621730386,10327.10060362173,127.27565392354124
code_book4_5_6.npy,33503,117,182.07663030327723,23.937561649283687,368.4794425197596,17.096,3.758,22.32,5949.32,70.19,29.798792756539235,6.358148893360161,35.70221327967807,5962.702213279678,128.40040241448693
code_book3_5_7.npy,34889,135,183.89328145868376,20.91310291193366,371.5061786950828,16.298,3.89,22.768,7783.768,80.912,29.34004024144869,6.631790744466801,36.716297786720325,7797.71629778672,143.6036217303823
code_book2_6_7.npy,35063,149,175.97494336071497,12.055635923097938,380.37298542427646,16.848,3.888,23.184,8950.184,70.556,31.16297786720322,6.51307847082495,37.714285714285715,8964.714285714286,139.16700201207243
code_book1_9.npy,35416,186,118.14542887604148,7.276216923007626,385.16419318848403,23.87,4.83,24.512,15024.512,76.348,44.50905432595574,7.6156941649899395,40.354124748490946,15040.354124748492,137.88732394366198
code_book2_5_8.npy,36873,162,178.48589639493366,19.199789327605906,373.2224974007404,15.76,3.878,22.192,10727.192,73.206,29.287726358148895,6.597585513078471,36.49094567404426,10741.490945674044,141.12072434607646
code_book1_6_8.npy,37290,174,140.93679874281452,9.660450905386913,382.7761582986011,17.846,4.308,23.184,11673.184,76.888,32.60764587525151,6.716297786720322,36.796780684104625,11686.796780684104,141.19315895372233
code_book3_4_8.npy,37510,163,188.49830059935917,20.2812227048498,372.14057370376827,16.052,4.03,23.12,10717.12,81.444,28.462776659959758,6.921529175050302,36.587525150905435,10730.587525150906,158.0020120724346
code_book2_4_9.npy,39570,184,184.88422548168188,17.276763190325884,375.15177444311905,15.77,4.082,23.584,13737.584,81.072,28.76861167002012,7.056338028169014,38.647887323943664,13752.647887323943,161.61368209255534
code_book1_5_9.npy,40383,202,168.68479764610876,9.189265362531492,383.2475559965594,16.692,4.14,22.384,15157.384,81.154,30.661971830985916,6.855130784708249,36.6841046277666,15171.684104627766,153.27766599597587
