Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,13,9.751002405773857,1,3.877555162636441,0.08908496732026143,306,0.973,0.08908496732026143,0.0,0.2534019372462696,0.973,0.005465116279069767,0.0,0.06630425322432973,306,4988,20,16.30065359477124,1,5.139345813409265,14,9.252,0,3.833600918196885,0.119984375,64,0.883,0.119984375,0.0,0.27373507334804464,0.883,0.007679,0.0,0.0752194785876637,124,2000,22,15.625,3,5.515602868227552,2000,0.011583512183278799,27.81786432629451,21.201689305948094,3.992728049168363,0.04539636499248445,0.18393085384741426,7443.6102334295865,2.3825362401548773,0.009030499,0.011997854,0.00660925,-0.004438175,0.0029589785
1,14,10.989385139194873,0,2.8846034032405647,0.10265185185185186,270,0.991,0.10265185185185186,0.0,0.282035782298223,0.991,0.005550971359903865,0.0,0.0695730697353735,576,9981,50,18.492592592592594,1,7.4673326055176235,14,10.515,0,3.250196147927076,0.10043636363636366,55,0.946,0.10043636363636366,0.0,0.2676767225004726,0.946,0.005523999999999999,0.0,0.0668213395854947,179,3000,33,18.181818181818183,2,5.979026704287121,3000,0.014178305864334106,22.531985204899684,16.92123129684478,3.2184834401123226,0.024569286964833736,0.012258243979886174,7466.151418342255,2.3412646311335266,0.0027636166,0.062478513,0.011113529,-0.0058302535,0.011678566
2,13,9.467293458691739,0,3.7267758542408704,0.0628688524590164,305,0.991,0.0628688524590164,0.0,0.22268606700839358,0.991,0.0038357671534306856,0.0,0.05702610304283682,881,14980,50,16.39016393442623,1,6.510161160353961,14,9.275,0,3.536859482648413,0.07434374999999999,64,0.9369999999999999,0.07434374999999999,0.0,0.2344171774549329,0.9369999999999999,0.004758,0.0,0.06203208392436931,243,4000,23,15.625,2,4.580870550452174,4000,0.011838361155241728,26.72221610089764,20.199772536056116,4.193189628887922,0.04046148690395057,0.02865259791724384,7492.878654667642,2.248301489977166,0.004592279,0.06956496,0.012542367,-0.0186633,0.010858602
3,14,9.379303442754203,1,3.689354016849762,0.09234353741496598,294,0.982,0.09234353741496598,0.0,0.2666960632354925,0.982,0.005434147317854283,0.0,0.0682486789075922,1175,19976,50,16.993197278911566,1,6.8496949618157865,14,8.975,0,3.755312903074789,0.0778448275862069,58,0.9279999999999999,0.0778448275862069,0.0,0.24096063505406837,0.9279999999999999,0.004515000000000001,0.0,0.06081678859492665,301,5000,37,17.24137931034483,2,5.657800062372197,5000,0.008897295920178294,28.479214927647263,21.392862010980025,4.176963509991765,0.020847262814641,0.012642018962651491,7521.365990751656,2.867002828978002,0.0021663294,0.09759686,0.0148211755,-0.008668772,0.013072585
4,14,9.443354683746998,0,4.386340828502855,0.07707326007326007,273,0.991,0.07707326007326007,0.0,0.24479086188322696,0.991,0.0042115692554043245,0.0,0.05984357674137775,1448,24972,50,18.3003663003663,1,7.9031152487519005,14,9.728,0,4.108286260717478,0.1520327868852459,61,0.991,0.1520327868852459,0.0,0.3119501309038382,0.991,0.009274,0.0,0.08520581508324418,362,6000,34,16.39344262295082,1,7.277359205151704,6000,0.011680939933285117,25.102321054087952,18.788605217123404,3.786569733871147,0.025220972020179033,0.012145871063694358,7546.473332098685,2.478098320076242,0.001917388,0.14563361,0.01746353,-0.012384403,0.01787285
5,13,5.940316443020229,1,3.8321537577968816,0.07771874999999999,160,0.991,0.07771874999999999,0.0,0.24311828838743807,0.991,0.0024904866813538953,0.0,0.04562252448363458,1608,29965,50,31.20625,1,15.842228723809667,14,7.068,0,3.8803834862033932,0.06445454545454546,33,0.991,0.06445454545454546,0.0,0.21753969904630518,0.991,0.002127,0.0,0.04116123019298621,395,7000,49,30.303030303030305,1,11.522007528375001,7000,0.011597969802096486,15.839722752803937,10.934148564003408,2.7352432899642736,0.024691998027265072,0.07902700896374881,7562.3180986137595,2.0550139220431447,0.0033733924,0.113138095,0.022342056,-0.016286481,0.017913742
6,14,8.812700320512821,1,4.353423783386624,0.09447200000000001,250,0.991,0.09447200000000001,0.0,0.26393649466490987,0.991,0.004731169871794872,0.0,0.06255625229756026,1858,34957,50,19.968,1,7.29814880637549,14,8.717,0,4.259684377979195,0.19481818181818178,55,0.991,0.19481818181818178,0.0,0.3479089270018856,0.991,0.010715,0.0,0.09289725386145707,450,8000,39,18.181818181818183,1,8.610967444519723,8000,0.01100495201535523,23.749155822210014,17.811778808012605,3.546741238096729,0.022329006111249328,0.011902614962309599,7586.0742866327055,2.345399203011766,0.00017797113,0.122629195,0.025644511,-0.005671098,0.019717565
7,14,10.685908999799558,0,4.101362024442535,0.09982857142857142,245,0.982,0.09982857142857142,0.0,0.26276188336008477,0.982,0.004902385247544598,0.0,0.062096462280101426,2103,39946,50,20.36326530612245,1,9.316798387585662,14,10.721,0,4.050328258302035,0.14714545454545455,55,0.901,0.14714545454545455,0.0,0.30641809928633124,0.901,0.008093,0.0,0.07930582797625911,505,9000,34,18.181818181818183,3,6.959861307633048,9000,0.006066998932510614,21.69183840113692,16.451933845877647,3.002726416103542,0.03259741701185703,0.008703349158167839,7607.769249432022,2.189810374053195,0.012557586,0.18367599,0.030079506,-0.004316047,0.026930308
8,14,7.1614,0,5.032549059870157,0.11023846153846154,260,0.991,0.11023846153846154,0.0,0.2911983411788697,0.991,0.0057323999999999995,0.0,0.07077066617066707,2363,44946,49,19.23076923076923,1,7.6916922830749535,14,6.834,0,4.962906809522016,0.15587037037037035,54,0.973,0.15587037037037035,0.0,0.3191174778629974,0.973,0.008417,0.0,0.08209906888022542,559,10000,34,18.51851851851852,1,7.294698076509735,10000,0.006649541202932596,18.918998604873195,13.702991359867156,3.1051475980784744,0.02036557183600962,0.012629378819838166,7626.693147087935,2.071215155068785,0.004997135,0.14731517,0.033671442,-0.007557582,0.02561951
9,14,7.874824754656519,1,4.590387065281621,0.09877966101694914,236,0.991,0.09877966101694914,0.0,0.2707826896425519,0.991,0.004668936511115562,0.0,0.06249085613392623,2599,49939,50,21.156779661016948,1,9.957366567092462,14,8.237,0,4.511854496767377,0.117734693877551,49,0.955,0.117734693877551,0.0,0.2677899554219805,0.955,0.005769,0.0,0.06449644671607886,608,11000,46,20.408163265306122,2,8.759643938684272,11000,0.008512194966897368,17.440336737548932,13.079643407836556,2.409166475990787,0.02841360494494438,0.009558548917993903,7644.13765387889,1.9050425048917532,0.0071060713,0.17944106,0.038390018,-0.0021462236,0.028405715
